@relation features

@attribute MEAN_103_0 numeric
@attribute VARIANCE_103_0 numeric
@attribute class {moving,nonmoving,not_in_pocket}

@data
9.421183,0.00032,nonmoving
9.42257,0.000364,nonmoving
9.421505,0.000921,nonmoving
9.420248,0.001094,nonmoving
9.426756,0.003301,nonmoving
9.438604,0.002806,nonmoving
9.44894,0.002389,nonmoving
9.431243,0.001172,nonmoving
11.93652,29.125689,moving
11.984793,26.83286,moving
12.612051,28.981182,moving
12.617884,28.584731,moving
12.277261,29.483224,moving
11.808086,25.719327,moving
12.171643,26.584059,moving
12.27741,25.634042,moving
12.36283,24.231788,moving
12.679931,24.966447,moving
12.97242,25.020429,moving
12.39806,28.844428,moving
12.49003,24.209761,moving
12.887683,23.216793,moving
13.199259,23.867316,moving
12.882891,24.359925,moving
12.433774,29.795309,moving
12.091541,27.113677,moving
12.183976,28.886947,moving
11.626099,24.779932,moving
11.58764,25.070252,moving
12.224789,26.846178,moving
11.764849,30.448724,moving
12.44498,31.862307,moving
12.902227,30.719992,moving
12.620772,30.454597,moving
12.332057,24.998385,moving
12.224539,27.699276,moving
12.408913,27.891145,moving
12.477277,24.465558,moving
12.925454,26.672797,moving
12.569441,26.823584,moving
12.106783,28.00321,moving
12.043257,25.71895,moving
12.477921,25.765838,moving
12.496077,24.131002,moving
12.188494,22.095953,moving
13.276131,25.868663,moving
13.01834,27.149292,moving
12.914656,29.556355,moving
12.996223,26.612633,moving
12.242123,29.831756,moving
11.456406,27.212962,moving
11.412612,25.036957,moving
12.602544,28.520106,moving
12.548171,27.771688,moving
12.815356,27.549405,moving
12.641086,25.079533,moving
11.998243,28.763392,moving
11.220024,24.031598,moving
11.898888,25.506251,moving
12.838826,25.746702,moving
12.717302,26.636528,moving
12.386646,28.430702,moving
12.439379,27.360606,moving
12.017388,29.533048,moving
11.815116,24.435181,moving
12.113157,23.361774,moving
12.789158,26.094868,moving
12.706848,25.730988,moving
12.371178,28.295138,moving
12.404151,27.400624,moving
12.291359,27.630255,moving
12.229227,23.936232,moving
12.605482,22.258523,moving
12.848034,21.807964,moving
12.961257,22.536544,moving
12.570662,27.093148,moving
12.08315,22.091639,moving
11.965323,26.45906,moving
12.142193,28.073114,moving
12.004344,29.441924,moving
12.579692,28.68055,moving
12.540663,25.354543,moving
12.165474,28.758805,moving
11.875113,24.72681,moving
11.899069,25.727443,moving
12.187735,25.977931,moving
12.251219,25.644715,moving
12.971151,26.010537,moving
13.272377,23.406588,moving
12.749964,26.123474,moving
12.064484,22.581896,moving
12.112156,24.112678,moving
12.789641,25.394914,moving
12.535379,26.256557,moving
12.852066,27.334055,moving
12.728141,26.31389,moving
12.154768,24.477658,moving
12.128169,24.154622,moving
12.257226,23.468495,moving
12.83408,26.170969,moving
12.837085,26.018875,moving
12.500483,28.589266,moving
11.938889,26.69028,moving
12.323678,28.969884,moving
12.585498,31.753505,moving
12.593676,29.75285,moving
13.086072,26.177089,moving
12.940511,21.118871,moving
12.514364,20.19131,moving
12.795805,18.601737,moving
12.794104,18.776056,moving
13.633777,24.314867,moving
13.622175,24.469992,moving
13.556208,29.35278,moving
12.559882,27.754485,moving
12.246123,27.923183,moving
11.944356,25.19727,moving
11.95473,23.288097,moving
12.432113,24.960341,moving
