@relation features

@attribute MEAN_105_0 numeric
@attribute MEAN_105_1 numeric
@attribute VARIANCE_105_0 numeric
@attribute VARIANCE_105_1 numeric
@attribute MEAN_106_0 numeric
@attribute MEAN_106_1 numeric
@attribute VARIANCE_106_0 numeric
@attribute VARIANCE_106_1 numeric
@attribute VARIANCE_6_0 numeric
@attribute class {slow_walking,fast_walking,slow_running,fast_running,upstairs,downstairs}

@data
9.871708,-0.734576,5.673081,6.524602,1.514006,-0.031118,0.391075,0.511584,0.017591,fast_walking
9.870344,-0.804515,5.518116,6.220165,1.409832,-0.067255,0.342349,0.392827,0.009757,fast_walking
9.678641,-1.006081,6.723795,6.667417,1.495078,-0.18469,0.448642,0.468572,0.013088,fast_walking
9.797657,-0.649001,6.315649,7.596172,1.624899,0.050492,0.464598,0.553473,0.016025,fast_walking
10.100646,-0.825504,5.836024,6.501741,1.508326,-0.090227,0.372365,0.427223,0.011488,fast_walking
9.567983,-1.30287,6.03464,7.448648,1.412811,-0.071591,0.340775,0.390569,0.014402,fast_walking
9.842161,-1.023635,5.559944,6.840014,1.477428,0.099861,0.399535,0.507166,0.017064,fast_walking
10.324328,-1.106733,6.469296,6.545231,1.413885,-0.111986,0.358418,0.479349,0.015227,fast_walking
9.949068,-1.919088,5.770649,8.938288,1.272479,-0.04096,0.298602,0.442608,0.01308,fast_walking
9.845279,-0.846729,5.680855,6.464141,1.36947,0.055125,0.197746,0.43841,0.011411,fast_walking
10.158514,-1.094029,6.533133,6.206395,1.459366,-0.166084,0.249775,0.516609,0.012196,fast_walking
10.24215,-1.79806,7.363773,9.344858,1.363053,-0.044097,0.247501,0.400292,0.014024,fast_walking
9.89089,-0.980992,5.140869,7.525885,1.477816,-0.000822,0.228532,0.397166,0.01287,fast_walking
9.793559,-1.215197,6.602571,7.471983,1.566921,-0.159055,0.281826,0.438265,0.012072,fast_walking
10.25794,-1.378044,8.854493,9.5272,1.5598,0.007585,0.352144,0.471381,0.012978,fast_walking
10.017232,-1.126389,7.165929,8.344765,1.492275,-0.032562,0.297406,0.439993,0.008455,fast_walking
9.41054,-1.52545,8.423472,8.610746,1.577974,-0.098151,0.356653,0.482021,0.009405,fast_walking
9.93497,-0.802401,7.494798,8.595069,1.78417,0.097651,0.294129,0.608961,0.012933,fast_walking
10.477006,-0.935826,8.456996,7.341356,1.683999,-0.171168,0.307066,0.567559,0.010205,fast_walking
10.042297,-1.638335,9.074516,11.039322,1.635813,-0.082389,0.288103,0.513708,0.011403,fast_walking
9.807677,-0.72541,6.843695,7.238794,1.623225,0.02719,0.268388,0.498564,0.005346,fast_walking
9.999598,-0.949176,8.157643,7.330632,1.706916,-0.244399,0.346427,0.610123,0.007001,fast_walking
10.250485,-1.101228,8.326928,10.955655,1.630173,0.001851,0.331142,0.683975,0.009607,fast_walking
10.092659,-0.710052,6.628598,7.649299,1.475831,-0.040473,0.361186,0.584834,0.007902,fast_walking
9.428336,-1.181537,8.014288,8.75682,1.664814,-0.139935,0.401303,0.600495,0.008523,fast_walking
9.719262,-0.751259,6.166114,7.701902,1.607569,0.092338,0.439045,0.633161,0.009872,fast_walking
10.310442,-1.034839,7.120746,6.625536,1.582753,-0.169945,0.45059,0.529524,0.007261,fast_walking
9.88014,-2.069722,6.441371,10.684568,1.416374,-0.021493,0.383091,0.43012,0.011963,fast_walking
9.853353,-1.228836,5.584452,7.764945,1.44664,0.03148,0.328327,0.388396,0.009808,fast_walking
10.123695,-1.322279,6.229343,7.468639,1.590417,-0.110168,0.343074,0.42345,0.010249,fast_walking
10.054381,-1.781066,5.280744,9.350332,1.390763,-0.102711,0.251385,0.431305,0.009088,fast_walking
9.915009,-1.032953,4.448383,5.659848,1.355064,0.016539,0.245011,0.502842,0.007469,fast_walking
9.818253,-1.230085,5.16987,5.285847,1.394416,-0.140067,0.32239,0.609106,0.007083,fast_walking
10.469156,-1.518811,6.909457,7.162069,1.296446,-0.06104,0.245058,0.623961,0.013389,fast_walking
10.115274,-0.747357,5.996197,4.916716,1.322469,-0.000076,0.208268,0.586636,0.011388,fast_walking
9.938172,-1.017387,7.247501,4.777554,1.412881,-0.207029,0.269641,0.667053,0.014279,fast_walking
10.486727,-0.984851,7.274349,5.768145,1.373863,0.044667,0.238657,0.684654,0.010639,fast_walking
10.352609,-0.911806,5.676562,5.486642,1.375957,-0.091497,0.245334,0.514493,0.007291,fast_walking
9.676387,-1.222091,6.280684,6.569078,1.382679,-0.062445,0.231691,0.476084,0.007293,fast_walking
9.849264,-0.576641,4.697221,5.966768,1.465887,0.100324,0.219055,0.449856,0.005711,fast_walking
10.308777,-0.690264,5.563276,5.752729,1.42797,-0.108784,0.265668,0.378575,0.005499,fast_walking
9.96447,-1.621027,6.298413,8.660431,1.418312,-0.072074,0.264253,0.448105,0.00642,fast_walking
9.993941,-0.69709,5.773745,6.409536,1.549312,-0.009168,0.27137,0.435888,0.006521,fast_walking
10.312156,-0.800381,7.099355,6.099989,1.592708,-0.148944,0.275482,0.47262,0.008398,fast_walking
10.16135,-1.236149,6.118164,7.527094,1.414337,-0.127778,0.275715,0.427174,0.004561,fast_walking
10.082099,-0.849568,5.90302,4.459114,1.327271,-0.011547,0.230432,0.445071,0.005663,fast_walking
10.152809,-1.166825,6.964274,4.093214,1.347165,-0.188116,0.312426,0.551989,0.006183,fast_walking
10.595006,-1.654571,7.947326,7.418789,1.293296,-0.16431,0.236281,0.682009,0.008167,fast_walking
10.11203,-1.023055,6.011902,6.379994,1.364541,-0.002307,0.218697,0.753415,0.011905,fast_walking
9.827364,-1.346188,6.719025,6.010528,1.459497,-0.236767,0.246228,0.887591,0.01613,fast_walking
10.552162,-1.034634,8.197321,6.26482,1.441692,0.026431,0.213361,0.952221,0.019894,fast_walking
10.465082,-0.586732,7.497828,5.631739,1.413771,-0.103753,0.236988,0.75506,0.00955,fast_walking
9.868477,-1.14655,8.230517,6.727677,1.503012,-0.130393,0.31943,0.713911,0.009841,fast_walking
9.991651,-0.886564,5.777175,7.008654,1.496626,0.127525,0.343126,0.681346,0.008159,fast_walking
10.496388,-1.140661,6.841602,6.128115,1.458857,-0.176919,0.402385,0.565754,0.00694,fast_walking
10.227642,-1.860362,7.574842,9.641978,1.404306,-0.018926,0.273459,0.515777,0.010537,fast_walking
9.931634,-0.845245,6.461347,7.251356,1.53567,0.103973,0.347554,0.583663,0.007998,fast_walking
10.066806,-1.092952,7.579143,6.946935,1.672854,-0.219404,0.399389,0.734662,0.010306,fast_walking
10.333978,-1.391252,7.861012,8.774409,1.520827,0.042524,0.334733,0.806673,0.011494,fast_walking
12.360191,-0.81298,30.015051,14.113031,2.841515,0.018857,1.321123,2.942848,0.021344,slow_running
12.462337,-0.720031,31.40625,14.736446,2.813665,-0.013483,1.120836,3.149027,0.019212,slow_running
12.411216,-0.351407,29.999077,15.171556,2.891432,-0.017781,1.348668,3.537919,0.022014,slow_running
12.268506,-0.540343,30.21652,15.797343,2.822713,-0.047078,1.364336,3.447064,0.032955,slow_running
12.623311,-0.701272,30.3797,16.925398,2.990707,-0.039146,1.57225,3.73439,0.037067,slow_running
12.188762,-1.041796,31.705604,18.695163,2.926726,-0.06795,1.846339,3.517758,0.047547,slow_running
12.105988,-0.621943,30.868718,19.022936,3.007779,-0.105787,1.939582,3.880067,0.051997,slow_running
12.07963,-0.803105,27.837399,18.811289,3.084486,-0.16203,2.095548,4.194776,0.054433,slow_running
12.51006,-0.379617,25.43894,20.712766,3.092078,-0.067376,2.45597,4.288185,0.051315,slow_running
12.488985,-0.393523,24.985109,18.945141,3.052138,-0.073253,2.165614,4.098325,0.052928,slow_running
13.179404,-0.335508,28.91285,17.04085,3.013902,-0.117088,2.238058,4.418265,0.062282,slow_running
